HouseholdID,Longitude,Latitude,N,order,cluster,latmean,lngmean
WQ07,34.17509545,-0.424971566,3,1107,23,-0.425413033,34.17787856
WN97,34.17628972,-0.425652268,5,1108,23,-0.425413033,34.17787856
WN96,34.17579615,-0.426217291,6,1109,23,-0.425413033,34.17787856
WN95,34.17633371,-0.427003674,11,1110,23,-0.425413033,34.17787856
WQ04,34.17508034,-0.427762246,14,1111,23,-0.425413033,34.17787856
WQ05,34.17579767,-0.428664818,3,1112,23,-0.425413033,34.17787856
WN65,34.17636739,-0.428708672,6,1113,23,-0.425413033,34.17787856
WN77,34.17681531,-0.428772118,8,1114,23,-0.425413033,34.17787856
WN66,34.17678492,-0.428111766,5,1115,23,-0.425413033,34.17787856
WN67,34.17746749,-0.428548451,7,1116,23,-0.425413033,34.17787856
WN68,34.17726532,-0.428909986,4,1117,23,-0.425413033,34.17787856
WN69,34.17747027,-0.429179242,3,1118,23,-0.425413033,34.17787856
WN72,34.17827282,-0.429784685,1,1119,23,-0.425413033,34.17787856
WN75,34.1782852,-0.430023783,6,1120,23,-0.425413033,34.17787856
WN73,34.17835284,-0.430004109,6,1121,23,-0.425413033,34.17787856
WN71,34.17848672,-0.429708446,3,1122,23,-0.425413033,34.17787856
WN76,34.17849608,-0.429669661,1,1123,23,-0.425413033,34.17787856
WN70,34.17801387,-0.429307722,2,1124,23,-0.425413033,34.17787856
WN09,34.17862188,-0.427554008,7,1125,23,-0.425413033,34.17787856
WN10,34.17784056,-0.427841971,3,1126,23,-0.425413033,34.17787856
WQ41,34.17801248,-0.427372756,3,1127,23,-0.425413033,34.17787856
WN11,34.17756178,-0.427220598,9,1128,23,-0.425413033,34.17787856
WQ34,34.17758821,-0.426756615,7,1129,23,-0.425413033,34.17787856
WQ03,34.17807702,-0.426298061,2,1130,23,-0.425413033,34.17787856
WQ21,34.17793705,-0.425536694,4,1131,23,-0.425413033,34.17787856
WQ33,34.17811099,-0.425443963,5,1132,23,-0.425413033,34.17787856
WQ32,34.17805636,-0.425237115,4,1133,23,-0.425413033,34.17787856
WQ22,34.1780446,-0.424968325,4,1134,23,-0.425413033,34.17787856
WQ31,34.1784683,-0.424346369,12,1135,23,-0.425413033,34.17787856
WQ23,34.17722343,-0.424340776,7,1136,23,-0.425413033,34.17787856
WQ16,34.17661207,-0.42470175,8,1137,23,-0.425413033,34.17787856
WQ17,34.17655497,-0.424285655,3,1138,23,-0.425413033,34.17787856
WQ12,34.17621067,-0.422941036,9,1139,23,-0.425413033,34.17787856
WQ10,34.17561565,-0.42292483,5,1140,23,-0.425413033,34.17787856
WQ15,34.1753072,-0.42283852,7,1141,23,-0.425413033,34.17787856
WQ11,34.17579845,-0.422671761,12,1142,23,-0.425413033,34.17787856
WQ13,34.17607456,-0.42237133,1,1143,23,-0.425413033,34.17787856
WQ24,34.17791409,-0.422676766,2,1144,23,-0.425413033,34.17787856
WQ25,34.17889898,-0.421453814,2,1145,23,-0.425413033,34.17787856
WQ26,34.1792677,-0.421989356,6,1146,23,-0.425413033,34.17787856
WQ27,34.17965976,-0.422604689,2,1147,23,-0.425413033,34.17787856
WQ30,34.17940785,-0.423330387,6,1148,23,-0.425413033,34.17787856
WQ28,34.17981341,-0.423230304,4,1149,23,-0.425413033,34.17787856
WQ29,34.17998763,-0.423540192,5,1150,23,-0.425413033,34.17787856
KU18,34.1822466,-0.422129488,6,1151,23,-0.425413033,34.17787856
KU17,34.1819552,-0.421561915,6,1152,23,-0.425413033,34.17787856
KU16,34.18063139,-0.420908524,21,1153,23,-0.425413033,34.17787856
KU25,34.1809936,-0.420020294,7,1154,23,-0.425413033,34.17787856
KX47,34.17953406,-0.420704457,3,1155,23,-0.425413033,34.17787856
KU26,34.17943036,-0.419848824,8,1156,23,-0.425413033,34.17787856
KU24,34.18019148,-0.419392749,15,1157,24,-0.42252938,34.17054446
KU27,34.17973065,-0.418698516,19,1158,24,-0.42252938,34.17054446
KX03,34.17955518,-0.418093654,7,1159,24,-0.42252938,34.17054446
KU28,34.17909665,-0.41739162,2,1160,24,-0.42252938,34.17054446
KU23,34.17854804,-0.418683722,5,1161,24,-0.42252938,34.17054446
KX11,34.17758457,-0.41926537,6,1162,24,-0.42252938,34.17054446
KX10,34.17717058,-0.418241795,3,1163,24,-0.42252938,34.17054446
KX09,34.17622965,-0.417607997,8,1164,24,-0.42252938,34.17054446
KX21,34.17565398,-0.417259936,3,1165,24,-0.42252938,34.17054446
KX22,34.17511792,-0.41746148,1,1166,24,-0.42252938,34.17054446
WQ20,34.17473355,-0.419133212,13,1167,24,-0.42252938,34.17054446
WQ14,34.17386491,-0.421658961,4,1168,24,-0.42252938,34.17054446
WN91,34.17392779,-0.422054498,3,1169,24,-0.42252938,34.17054446
WN89,34.1721239,-0.420639873,10,1170,24,-0.42252938,34.17054446
WN88,34.17151063,-0.421143788,2,1171,24,-0.42252938,34.17054446
WN87,34.1703715,-0.421627703,4,1172,24,-0.42252938,34.17054446
